HEADER
VTF File Version,1.1
VTF File Type,0
PID,3583827
Generated on,2026-02-20 01:52:26
Resolution,ms
Min Resolution,ns
Trace Version,1.1
TraceID,3583830

STRUCTURE
Group_Start,User and Internal Events
Dynamic_Row,1,General,User Events from APIs and Internally Generated Events
Group_End,User and Internal Events

MAPPING
557,0:13:94222180108800
99,0:13:94222181117920
1034,0:13:94222182170576
272,0:13:94222183772128
634,0:13:94222184013792
622,0:13:94222185839936
629,0:13:94222186844128
230,0:13:94222187360224
575,0:13:94222187536352
625,0:13:94222188890080
540,0:13:94222189629344
1843,0:13:94222190010320
896,0:13:94222190165968
135,0:13:94222190657504
531,0:13:94222191886304
529,0:13:94222192050144
222,0:13:94222192861152
254,0:13:94222193377184
630,0:13:94222193774560
317,0:13:94222193844192
276,0:13:94222193995168
218,0:13:94222194008032
1988,0:13:94222194114512
1968,0:13:94222194270160
174,0:13:94222194819040
108,0:13:94222194864096
640,0:13:94222195269600
1031,0:13:94222195466192
190,0:13:94222195957728
171,0:13:94222196666336
90,0:13:94222197170144
314,0:13:94222198130128
503,0:13:94222198210528
591,0:13:94222198575072
1522,0:13:94222200168400
258,0:13:94222200538880
116,0:13:94222201270240
550,0:13:94222201330576
126,0:13:94222201401312
844,0:13:94222201434064
340,0:13:94222202093536
895,0:13:94222202318800
731,0:13:94222203006928
105,0:13:94222203056096
204,0:13:94222203785184
151,0:13:94222204002272
136,0:13:94222204354528
341,0:13:94222205112288
594,0:13:94222205472096
1393,0:13:94222206017488
291,0:13:94222206210016
814,0:13:94222206746576
637,0:13:94222208360416
834,0:13:94222210146256
1572,0:13:94222210703312
861,0:13:94222210707408
301,0:13:94222211197264
817,0:13:94222211268560
234,0:13:94222211735520
631,0:13:94222212378592
110,0:13:94222212980704
106,0:13:94222213914592
1036,0:13:94222214410192
647,0:13:94222214579744
1819,0:13:94222216720336
1267,0:13:94222216867792
195,0:13:94222216962016
900,0:13:94222217949136
1736,0:13:94222218039248
1302,0:13:94222218108880
280,0:13:94222218942160
595,0:13:94222219694048
91,0:13:94222220054496
229,0:13:94222220271584
601,0:13:94222221631456
820,0:13:94222221746128
162,0:13:94222221758432
1091,0:13:94222222315472
610,0:13:94222222952928
281,0:13:94222223965344
1260,0:13:94222224011216
851,0:13:94222224351184
225,0:13:94222225743840
140,0:13:94222226882528
617,0:13:94222227333088
142,0:13:94222228451296
401,0:13:94222228657440
1132,0:13:94222229196752
403,0:13:94222229271408
402,0:13:94222229579120
404,0:13:94222229770064
231,0:13:94222229856224
606,0:13:94222229962720
1399,0:13:94222230929360
297,0:13:94222231152960
215,0:13:94222231281632
145,0:13:94222231306208
583,0:13:94222231565552
118,0:13:94222231576544
139,0:13:94222232195040
408,0:13:94222232371168
410,0:13:94222233018336
632,0:13:94222233045984
1821,0:13:94222233096144
638,0:13:94222233176416
109,0:13:94222233530336
166,0:13:94222233604064
544,0:13:94222233866208
294,0:13:94222233886688
412,0:13:94222234263520
205,0:13:94222234271712
192,0:13:94222234296288
149,0:13:94222234320864
500,0:13:94222234504400
413,0:13:94222234565536
415,0:13:94222234607072
414,0:13:94222234690432
417,0:13:94222235403984
1719,0:13:94222236717008
644,0:13:94222236731536
420,0:13:94222236738928
419,0:13:94222237945824
701,0:13:94222238638032
639,0:13:94222238904880
421,0:13:94222238973920
424,0:13:94222240962752
524,0:13:94222241132512
426,0:13:94222241918944
874,0:13:94222241931216
428,0:13:94222242336736
168,0:13:94222242684896
1290,0:13:94222242881488
427,0:13:94222243676128
865,0:13:94222243712976
2077,0:13:94222243856336
310,0:13:94222244007904
1239,0:13:94222244261840
432,0:13:94222244736992
628,0:13:94222244995040
296,0:13:94222245149952
434,0:13:94222245406528
433,0:13:94222245609440
435,0:13:94222246006752
438,0:13:94222246350816
138,0:13:94222246989792
439,0:13:94222247071712
120,0:13:94222248222688
1389,0:13:94222249803728
302,0:13:94222250303392
446,0:13:94222250407568
447,0:13:94222250622944
235,0:13:94222250999776
448,0:13:94222251148656
449,0:13:94222251248896
