Iteration,Total_Wall_ms,HW_Write_ms,HW_Compute_ms,HW_Read_ms,SW_Overhead_ms
238,0.315402,0.02741,0.189104,0.019308,0.07958
239,0.330641,0.027344,0.173406,0.037205,0.092686
240,0.404121,0.027946,0.278135,0.0211,0.07694
241,0.360175,0.024829,0.179057,0.038183,0.118106
242,0.317127,0.029798,0.194946,0.021542,0.070841
243,0.308754,0.038795,0.125879,0.037835,0.106245
244,0.288916,0.058534,0.120142,0.023728,0.086512
245,0.376475,0.031987,0.194167,0.03718,0.113141
246,0.468471,0.032672,0.332518,0.022072,0.081209
247,0.660015,0.023376,0.513119,0.037493,0.086027
248,0.307646,0.042875,0.177094,0.021481,0.066196
249,0.652017,0.04338,0.4627,0.038155,0.107782
250,0.28026,0.057595,0.123579,0.02224,0.076846
251,0.318036,0.029497,0.14029,0.03782,0.110429
252,0.323897,0.026914,0.191718,0.022418,0.082847
253,0.320124,0.031354,0.132369,0.039574,0.116827
254,0.635234,0.026216,0.506768,0.023262,0.078988
255,0.412183,0.033588,0.22032,0.039418,0.118857
256,0.258654,0.02674,0.111988,0.021878,0.098048
257,0.413978,0.028779,0.223347,0.041014,0.120838
258,0.258409,0.022178,0.14185,0.021209,0.073172
259,0.310844,0.030644,0.118647,0.044463,0.11709
260,0.248109,0.025236,0.11363,0.020018,0.089225
261,0.310985,0.029106,0.119472,0.037491,0.124916
262,0.287574,0.025299,0.157764,0.021429,0.083082
263,0.405893,0.029306,0.225839,0.03776,0.112988
264,0.336544,0.024377,0.209155,0.022351,0.080661
265,0.420488,0.028152,0.23512,0.037753,0.119463
266,0.235708,0.025704,0.106459,0.021884,0.081661
267,0.326057,0.041116,0.140756,0.037822,0.106363
268,0.371321,0.038702,0.239154,0.022391,0.071074
269,0.368077,0.03198,0.183834,0.038759,0.113504
270,0.730987,0.029018,0.602148,0.022489,0.077332
271,0.637927,0.028324,0.483499,0.037616,0.088488
272,0.388906,0.026371,0.236817,0.046625,0.079093
273,0.410124,0.036177,0.22287,0.037876,0.113201
274,0.224572,0.02894,0.09901,0.02242,0.074202
275,0.39237,0.04558,0.200041,0.0375,0.109249
276,0.293555,0.032949,0.160431,0.021016,0.079159
277,0.37168,0.027275,0.18644,0.037756,0.120209
278,0.326807,0.025168,0.194718,0.019705,0.087216
279,0.29802,0.030997,0.116908,0.037422,0.112693
280,0.578085,0.022609,0.447683,0.030393,0.0774
281,0.364293,0.045998,0.165593,0.037888,0.114814
282,0.287516,0.055843,0.14012,0.02006,0.071493
283,0.301914,0.042538,0.113659,0.037622,0.108095
284,0.309576,0.040424,0.177637,0.019595,0.07192
285,0.33312,0.03047,0.151486,0.037847,0.113317
286,0.430447,0.027281,0.300807,0.022087,0.080272
287,0.503728,0.024582,0.322014,0.038013,0.119119
288,0.210137,0.03173,0.080767,0.022431,0.075209
289,0.585254,0.027148,0.361044,0.067102,0.12996
290,0.280233,0.051693,0.12008,0.023495,0.084965
291,0.543729,0.065312,0.271288,0.061864,0.145265
292,0.381084,0.031139,0.241391,0.024838,0.083716
293,0.38912,0.031711,0.209212,0.03798,0.110217
294,0.314108,0.029192,0.168836,0.023833,0.092247
295,0.30327,0.025217,0.128541,0.03747,0.112042
296,0.26468,0.022967,0.14907,0.019769,0.072874
297,0.316546,0.02542,0.131448,0.037798,0.12188
298,0.258154,0.028909,0.131567,0.021789,0.075889
299,0.341012,0.024235,0.151324,0.037798,0.127655
300,0.341359,0.027877,0.215507,0.023087,0.074888
301,0.511479,0.024329,0.321937,0.037913,0.1273
302,0.262113,0.02607,0.137127,0.019627,0.079289
303,0.55816,0.051656,0.358157,0.037786,0.110561
304,0.320457,0.058378,0.164275,0.021092,0.076712
305,1.09148,0.029017,0.89666,0.037811,0.127988
306,0.368021,0.038922,0.224586,0.019933,0.08458
307,0.553399,0.055565,0.305486,0.037506,0.154842
308,0.278787,0.041442,0.149915,0.020935,0.066495
309,0.474517,0.05314,0.264081,0.037625,0.119671
310,0.237925,0.032803,0.110561,0.019078,0.075483
311,0.335166,0.025177,0.163324,0.039309,0.107356
312,0.680644,0.034299,0.549165,0.021955,0.075225
313,0.357894,0.025902,0.174414,0.037647,0.119931
314,0.396469,0.02813,0.232363,0.049302,0.086674
315,0.355311,0.0322,0.16195,0.037677,0.123484
316,0.273843,0.026993,0.150659,0.019716,0.076475
317,0.404869,0.030384,0.218766,0.037817,0.117902
318,0.306616,0.029183,0.180437,0.019162,0.077834
319,0.316056,0.022318,0.168887,0.036684,0.088167
320,0.324562,0.025981,0.202678,0.020039,0.075864
321,0.28588,0.027497,0.105775,0.037596,0.115012
322,0.252236,0.028705,0.126314,0.025907,0.07131
323,0.406607,0.023345,0.231804,0.037429,0.114029
324,0.547388,0.028627,0.422857,0.019478,0.076426
325,0.46784,0.024705,0.277479,0.037815,0.127841
326,0.287316,0.025913,0.163946,0.026989,0.070468
327,0.336817,0.025983,0.155925,0.037649,0.11726
328,0.298695,0.029575,0.17076,0.020228,0.078132
329,0.3361,0.024971,0.148287,0.044346,0.118496
330,0.428305,0.027847,0.304486,0.022103,0.073869
331,0.266489,0.024989,0.088181,0.037987,0.115332
332,0.308653,0.027212,0.184244,0.023241,0.073956
333,0.328539,0.025229,0.14494,0.037131,0.121239
334,0.389626,0.026996,0.259946,0.023953,0.078731
335,0.640954,0.025794,0.453648,0.037743,0.123769
336,0.284961,0.027848,0.153893,0.019904,0.083316
337,0.41971,0.028397,0.23535,0.040716,0.115247
338,0.309691,0.025468,0.186048,0.021595,0.07658
339,0.290608,0.028772,0.107248,0.037826,0.116762
340,0.2791,0.022611,0.164451,0.019951,0.072087
341,0.413256,0.028506,0.187334,0.037794,0.159622
342,0.259683,0.025298,0.124072,0.025401,0.084912
343,0.40688,0.02612,0.218073,0.037869,0.124818
344,0.233932,0.028255,0.099445,0.021169,0.085063
345,0.385788,0.027377,0.20524,0.036649,0.116522
346,0.275713,0.028753,0.146442,0.020451,0.080067
347,0.47744,0.040998,0.288875,0.037786,0.109781
348,0.334298,0.042733,0.190597,0.021832,0.079136
349,0.343957,0.042011,0.154189,0.037729,0.110028
350,0.370873,0.047295,0.23531,0.020391,0.067877
351,0.3283,0.029597,0.13834,0.037542,0.122821
352,0.276404,0.026544,0.15072,0.020176,0.078964
353,0.28627,0.031406,0.102283,0.037762,0.114819
354,0.349542,0.026642,0.217759,0.022505,0.082636
355,0.333626,0.02883,0.154201,0.038001,0.112594
356,0.223147,0.024166,0.106621,0.020202,0.072158
357,0.444961,0.027796,0.258147,0.038003,0.121015
358,0.286973,0.025469,0.163721,0.019831,0.077952
359,0.368798,0.027836,0.18719,0.037439,0.116333
360,0.347194,0.022213,0.226786,0.022844,0.075351
