Target device: xilinx_u50_gen3x16_xdma_base_5-0
timestamp,12v_aux_curr,12v_aux_vol,12v_pex_curr,12v_pex_vol,vccint_curr,vccint_vol,3v3_pex_curr,3v3_pex_vol,cage_temp0,cage_temp1,cage_temp2,cage_temp3,dimm_temp0,dimm_temp1,dimm_temp2,dimm_temp3,fan_temp,fpga_temp,hbm_temp,se98_temp0,se98_temp1,se98_temp2,vccint_temp,fan_rpm
6221.65,0,0,1425,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
6264.39,0,0,1425,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
6307.63,0,0,1425,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
6352.55,0,0,1425,12012,6900,849,568,3345,0,0,0,0,0,0,0,0,0,54,49,40,41,0,50,0,
6395.58,0,0,1425,12012,6900,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
6440.12,0,0,1425,12012,6900,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
6483.31,0,0,1425,12012,6900,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
6526.08,0,0,1425,12012,6900,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
6568.89,0,0,1425,12012,6900,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
6612.19,0,0,1425,12012,6900,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
6655.54,0,0,1425,12012,6900,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
6698.57,0,0,1425,12012,6900,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
6741.4,0,0,1425,12012,6900,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
6784.21,0,0,1425,12012,6900,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
6827.17,0,0,1425,12012,6900,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
6870.01,0,0,1425,12012,6900,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
6913.08,0,0,1425,12012,6900,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
6959.02,0,0,1425,12012,6900,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
7003.46,0,0,1425,12012,6900,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
7047.87,0,0,1425,12012,6900,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
7092.27,0,0,1425,12012,6900,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
7136.67,0,0,1425,12012,6900,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
7181.65,0,0,1425,12012,6900,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
7226.44,0,0,1425,12012,6900,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
7270.92,0,0,1425,12012,6900,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
7315.3,0,0,1425,12012,6900,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
7362,0,0,1425,12012,6900,849,567,3347,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
7406.41,0,0,1425,12012,6800,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
7452.68,0,0,1425,12012,6800,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
7497.63,0,0,1425,12012,6800,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
7542.25,0,0,1425,12012,6800,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
7586.71,0,0,1425,12012,6800,849,564,3345,0,0,0,0,0,0,0,0,0,54,49,39,41,0,50,0,
