backend,sample,N,E,h2d_ms,prep_ms,graph_ms,forward_ms,d2h_ms,compute_ms,transfer_ms,e2e_ms
cpu_eager,236,25,174,0.0,0.081193,0.097427,1.086193,0.0,1.264813,0.0,1.264813
cpu_eager,237,48,322,0.0,0.076221,0.113014,1.142461,0.0,1.331696,0.0,1.331696
cpu_eager,238,27,138,0.0,0.074498,0.095697,1.073644,0.0,1.243839,0.0,1.243839
cpu_eager,239,38,160,0.0,0.07487,0.109763,1.105753,0.0,1.290386,0.0,1.290386
cpu_eager,240,21,114,0.0,0.0742,0.086801,1.055573,0.0,1.216574,0.0,1.216574
cpu_eager,241,26,88,0.0,0.073894,0.090039,1.041466,0.0,1.2053989999999999,0.0,1.2053989999999999
cpu_eager,242,29,154,0.0,0.079968,0.094354,1.090643,0.0,1.2649650000000001,0.0,1.2649650000000001
cpu_eager,243,54,908,0.0,0.07706,0.149029,1.443963,0.0,1.670052,0.0,1.670052
cpu_eager,244,43,226,0.0,0.076393,0.108125,1.130459,0.0,1.314977,0.0,1.314977
cpu_eager,245,28,136,0.0,0.07571,0.094267,1.088453,0.0,1.25843,0.0,1.25843
cpu_eager,246,30,100,0.0,0.074676,0.098774,1.052644,0.0,1.2260939999999998,0.0,1.2260939999999998
cpu_eager,247,39,208,0.0,0.075794,0.104079,1.12381,0.0,1.303683,0.0,1.303683
cpu_eager,248,31,190,0.0,0.081452,0.100297,1.121246,0.0,1.302995,0.0,1.302995
cpu_eager,249,45,212,0.0,0.076951,0.108536,1.135666,0.0,1.321153,0.0,1.321153
cpu_eager,250,40,238,0.0,0.07661,0.10395,1.114147,0.0,1.294707,0.0,1.294707
cpu_eager,251,29,162,0.0,0.082076,0.097891,1.107276,0.0,1.287243,0.0,1.287243
cpu_eager,252,32,160,0.0,0.075679,0.099673,1.092856,0.0,1.268208,0.0,1.268208
cpu_eager,253,32,122,0.0,0.074639,0.100112,1.059687,0.0,1.234438,0.0,1.234438
cpu_eager,254,47,394,0.0,0.07576,0.13419,1.194718,0.0,1.404668,0.0,1.404668
cpu_eager,255,42,276,0.0,0.076897,0.109386,1.146679,0.0,1.332962,0.0,1.332962
cpu_eager,256,50,608,0.0,0.075825,0.136113,1.326555,0.0,1.5384929999999999,0.0,1.5384929999999999
cpu_eager,257,69,832,0.0,0.077246,0.152422,1.436389,0.0,1.666057,0.0,1.666057
cpu_eager,258,48,306,0.0,0.077252,0.1256,1.14528,0.0,1.348132,0.0,1.348132
cpu_eager,259,38,204,0.0,0.077636,0.105377,1.103183,0.0,1.286196,0.0,1.286196
cpu_eager,260,23,64,0.0,0.074424,0.086898,1.038199,0.0,1.199521,0.0,1.199521
cpu_eager,261,34,212,0.0,0.074205,0.107581,1.112126,0.0,1.293912,0.0,1.293912
cpu_eager,262,56,398,0.0,0.081102,0.122899,1.184843,0.0,1.3888440000000002,0.0,1.3888440000000002
cpu_eager,263,44,228,0.0,0.076045,0.10893,1.114358,0.0,1.2993329999999998,0.0,1.2993329999999998
cpu_eager,264,47,256,0.0,0.079407,0.122101,1.150655,0.0,1.352163,0.0,1.352163
cpu_eager,265,38,214,0.0,0.076377,0.105422,1.111047,0.0,1.292846,0.0,1.292846
cpu_eager,266,50,392,0.0,0.075254,0.123768,1.186109,0.0,1.3851310000000001,0.0,1.3851310000000001
cpu_eager,267,63,548,0.0,0.084223,0.138929,1.290665,0.0,1.513817,0.0,1.513817
cpu_eager,268,26,76,0.0,0.079822,0.090758,1.056862,0.0,1.227442,0.0,1.227442
cpu_eager,269,26,170,0.0,0.075559,0.095038,1.107859,0.0,1.2784559999999998,0.0,1.2784559999999998
cpu_eager,270,31,118,0.0,0.074979,0.09797,1.121793,0.0,1.294742,0.0,1.294742
cpu_eager,271,39,218,0.0,0.076672,0.104372,1.111959,0.0,1.293003,0.0,1.293003
cpu_eager,272,32,126,0.0,0.079533,0.0971,1.089499,0.0,1.266132,0.0,1.266132
cpu_eager,273,21,56,0.0,0.07477,0.087502,1.035099,0.0,1.197371,0.0,1.197371
cpu_eager,274,20,76,0.0,0.07334,0.08574,1.031044,0.0,1.190124,0.0,1.190124
cpu_eager,275,28,190,0.0,0.074672,0.09492,1.098124,0.0,1.267716,0.0,1.267716
cpu_eager,276,50,290,0.0,0.076624,0.117524,1.150014,0.0,1.344162,0.0,1.344162
cpu_eager,277,51,404,0.0,0.076127,0.120506,1.202395,0.0,1.3990280000000002,0.0,1.3990280000000002
cpu_eager,278,52,312,0.0,0.079184,0.122831,1.172083,0.0,1.374098,0.0,1.374098
cpu_eager,279,32,182,0.0,0.08198,0.100707,1.116986,0.0,1.299673,0.0,1.299673
cpu_eager,280,19,132,0.0,0.074576,0.08544,1.069564,0.0,1.22958,0.0,1.22958
cpu_eager,281,49,236,0.0,0.075433,0.116673,1.127858,0.0,1.3199640000000001,0.0,1.3199640000000001
cpu_eager,282,38,188,0.0,0.081663,0.111964,1.096263,0.0,1.28989,0.0,1.28989
cpu_eager,283,26,92,0.0,0.073897,0.093079,1.04058,0.0,1.207556,0.0,1.207556
cpu_eager,284,33,130,0.0,0.07432,0.098807,1.192017,0.0,1.3651440000000001,0.0,1.3651440000000001
cpu_eager,285,52,302,0.0,0.081944,0.140832,1.205766,0.0,1.428542,0.0,1.428542
cpu_eager,286,26,80,0.0,0.087674,0.098491,1.111204,0.0,1.297369,0.0,1.297369
cpu_eager,287,36,234,0.0,0.081388,0.11118,1.186503,0.0,1.3790710000000002,0.0,1.3790710000000002
cpu_eager,288,41,370,0.0,0.078212,0.116665,1.264515,0.0,1.459392,0.0,1.459392
cpu_eager,289,64,914,0.0,0.079127,0.166037,1.551345,0.0,1.796509,0.0,1.796509
cpu_eager,290,34,148,0.0,0.086481,0.106475,1.257345,0.0,1.450301,0.0,1.450301
cpu_eager,291,15,30,0.0,0.090145,0.10296,1.042181,0.0,1.235286,0.0,1.235286
cpu_eager,292,25,72,0.0,0.074928,0.09239,1.056776,0.0,1.224094,0.0,1.224094
cpu_eager,293,39,192,0.0,0.074923,0.105671,1.106785,0.0,1.2873789999999998,0.0,1.2873789999999998
cpu_eager,294,24,124,0.0,0.074724,0.089943,1.06269,0.0,1.227357,0.0,1.227357
cpu_eager,295,19,64,0.0,0.081846,0.085338,1.027537,0.0,1.194721,0.0,1.194721
cpu_eager,296,43,388,0.0,0.075094,0.113963,1.1637,0.0,1.352757,0.0,1.352757
cpu_eager,297,41,154,0.0,0.075281,0.10696,1.097369,0.0,1.27961,0.0,1.27961
cpu_eager,298,33,126,0.0,0.075163,0.104282,1.082687,0.0,1.262132,0.0,1.262132
cpu_eager,299,15,52,0.0,0.074712,0.080727,1.037603,0.0,1.1930420000000002,0.0,1.1930420000000002
cpu_eager,300,38,298,0.0,0.084143,0.118014,1.151411,0.0,1.3535679999999999,0.0,1.3535679999999999
cpu_eager,301,29,64,0.0,0.075209,0.091672,1.045951,0.0,1.2128320000000001,0.0,1.2128320000000001
cpu_eager,302,31,150,0.0,0.083389,0.101609,1.091545,0.0,1.276543,0.0,1.276543
